0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
7,7,0.4,0.4,0.0,0.0
8,8,11.5,11.9,0.1,0.1
9,9,33.3,45.2,0.3,0.5
10,10,34.9,80.1,0.3,0.8
11,11,40.9,121.0,0.4,1.2
12,12,58.0,179.0,0.6,1.8
13,13,58.2,237.2,0.6,2.4
14,14,52.0,289.2,0.5,2.9
15,15,36.8,326.0,0.4,3.3
16,16,11.2,337.2,0.1,3.4
17,17,0.7,337.9,0.0,3.4
18,18,0.0,0.0,0.0,0.0
19,19,0.0,0.0,0.0,0.0
20,20,0.0,0.0,0.0,0.0
21,21,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,0.0
24,0,0.0,0.0,0.0,0.0
25,1,0.0,0.0,0.0,0.0
26,2,0.0,0.0,0.0,0.0
27,3,0.0,0.0,0.0,0.0
28,4,0.0,0.0,0.0,0.0
29,5,0.0,0.0,0.0,0.0
30,6,0.0,0.0,0.0,0.0
31,7,0.2,0.2,0.0,0.0
32,8,2.6,2.8,0.0,0.0
33,9,24.0,26.8,0.2,0.3
34,10,9.2,36.0,0.1,0.4
35,11,19.4,55.4,0.2,0.6
36,12,19.3,74.7,0.2,0.7
37,13,38.7,113.4,0.4,1.1
38,14,37.4,150.8,0.4,1.5
39,15,32.4,183.2,0.3,1.8
40,16,13.5,196.7,0.1,2.0
41,17,1.3,198.0,0.0,2.0
42,18,0.0,0.0,0.0,0.0
43,19,0.0,0.0,0.0,0.0
44,20,0.0,0.0,0.0,0.0
45,21,0.0,0.0,0.0,0.0
46,22,0.0,0.0,0.0,0.0
47,23,0.0,0.0,0.0,0.0
48,0,0.0,0.0,0.0,0.0
49,1,0.0,0.0,0.0,0.0
50,2,0.0,0.0,0.0,0.0
51,3,0.0,0.0,0.0,0.0
52,4,0.0,0.0,0.0,0.0
53,5,0.0,0.0,0.0,0.0
54,6,0.0,0.0,0.0,0.0
55,7,0.4,0.4,0.0,0.0
56,8,1.1,1.5,0.0,0.0
57,9,0.0,1.5,0.0,0.0
58,10,0.0,1.5,0.0,0.0
59,11,150.5,152.0,1.5,1.5
60,12,61.3,213.3,0.6,2.1
61,13,59.5,272.8,0.6,2.7
62,14,49.1,321.9,0.5,3.2
63,15,33.0,354.9,0.3,3.5
64,16,13.2,368.1,0.1,3.7
65,17,1.4,369.5,0.0,3.7
66,18,0.0,0.0,0.0,0.0
67,19,0.0,0.0,0.0,0.0
68,20,0.0,0.0,0.0,0.0
69,21,0.0,0.0,0.0,0.0
70,22,0.0,0.0,0.0,0.0
71,23,0.0,0.0,0.0,0.0
72,0,0.0,0.0,0.0,0.0
73,1,0.0,0.0,0.0,0.0
74,2,0.0,0.0,0.0,0.0
75,3,0.0,0.0,0.0,0.0
76,4,0.0,0.0,0.0,0.0
77,5,0.0,0.0,0.0,0.0
78,6,0.0,0.0,0.0,0.0
79,7,0.4,0.4,0.0,0.0
80,8,7.5,7.9,0.1,0.1
81,9,29.1,37.0,0.3,0.4
82,10,49.4,86.4,0.5,0.9
83,11,61.1,147.5,0.6,1.5
84,12,66.7,214.2,0.7,2.1
85,13,63.3,277.5,0.6,2.8
86,14,54.2,331.7,0.5,3.3
87,15,36.7,368.4,0.4,3.7
88,16,15.5,383.9,0.2,3.8
89,17,1.1,385.0,0.0,3.9
90,18,0.0,0.0,0.0,0.0
91,19,0.0,0.0,0.0,0.0
92,20,0.0,0.0,0.0,0.0
93,21,0.0,0.0,0.0,0.0
